Data Series,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Total Trade In Services,758087.6,684313.9,587620.2,581539.9,550644.6,487524.3,429108.3,432922.3,406020.8,365055,327866.3,298227.8,273929.7,238962.6,254282,223936.4,195966,167532.8,150911.1,122427.9,109710.5,102892.5,96452.4
  Exports Of Services,401544.4,358080.9,295393.1,299830.9,279876.3,237243.6,210221.1,210622.7,194843.2,177719.3,161769.2,150013,136872.3,117832,126155,110796.6,92674.8,75904.8,66795.8,52966.2,49936.3,46286.1,44854.8
    Manufacturing Services On Physical Inputs Owned By Others,312.7,295,220.5,253.8,362.6,243.2,284.8,346.5,424.4,283.2,249.6,260.4,289.5,323.4,452.1,492.6,534.7,315,353.2,303.1,369.5,195,202.4
    Maintenance And Repair Services,10692.3,9113.1,8994.3,10550.7,10089.8,8216.3,8537.7,9315.2,9853.1,10767.2,9053.1,9342.9,8648.4,9128.1,8354.6,6605.6,5701,4797.7,3450.5,2883.1,3071.8,2099.5,1755.3
    Transport,140005.9,123884.2,89747,87623.5,83303.7,67129.9,57350.6,64097.1,63918.8,57830.9,55586.3,53523,52606.6,43365.7,51108.8,43642.8,35877.1,32435.1,28630.3,23343.2,21539.3,20497.9,20379.3
      Freight,123219.2,111155.1,76715.5,70327.9,66458.5,51903.8,44010.3,50798.1,50917.2,45929.4,42864.3,41416.7,41214.6,33042.6,38561.9,31104.6,24748,21286.1,18702.3,15022.2,12656.8,12079.2,11595.5
      Others,16786.7,12729.1,13031.5,17295.6,16845.2,15226.1,13340.3,13299,13001.6,11901.5,12722,12106.3,11392,10323.1,12546.9,12538.2,11129.1,11149,9928,8321,8882.5,8418.7,8783.8
    Travel,16259.3,5520.9,7388.2,27692.8,27530.7,27500.1,26212.8,22845.5,24277.4,24063.3,23487.3,22551.2,19331.2,13417.7,15018.1,13663.5,11973.5,10334.5,8996.7,6706.4,7980.5,8312.4,8864.7
    Insurance,10209.8,9270.6,8436.1,8781.3,9484.8,6710.2,6076.8,5312.7,4241.5,3634.5,3396.6,3035.4,3317.7,2210.2,1942,1570.1,1254.1,1138,967.5,856.5,1001.9,732.9,925.4
    Government Goods And Services,442.9,422,411.9,419.2,413.5,408.9,404.8,397,395.3,391.5,382.8,368.9,359.9,349.8,348.1,325.4,320.2,306.6,284.5,266.2,246.7,228.5,212.7
